timestamp,value,label
2015/2/26 21:42,104,0
2015/2/26 21:47,100,0
2015/2/26 21:52,99,0
2015/2/26 21:57,154,1
2015/2/26 22:02,120,0
2015/2/26 22:07,90,0
2015/2/26 22:12,92,0
2015/2/26 22:17,71,0
2015/2/26 22:22,339,1
2015/2/26 22:27,178,1
2015/2/26 22:32,144,0
2015/2/26 22:37,143,0
2015/2/26 22:42,179,1
2015/2/26 22:47,245,1
2015/2/26 22:52,166,1
2015/2/26 22:57,139,0
2015/2/26 23:02,112,0
2015/2/26 23:07,95,0
2015/2/26 23:12,70,0
2015/2/26 23:17,74,0
2015/2/26 23:22,88,0
2015/2/26 23:27,75,0
2015/2/26 23:32,77,0
2015/2/26 23:37,110,0
2015/2/26 23:42,83,0
